GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Util,org.klojang.util.exception,RootException,53,27,0,0,17,5,12,4,12,4
Klojang Util,org.klojang.util.exception,UncheckedException,59,40,2,2,17,10,13,4,11,4
Klojang Util,org.klojang.util.exception,ExceptionOrigin,71,179,15,19,12,39,17,12,8,4
Klojang Util,org.klojang.util,ResizeMethod,21,153,0,23,3,29,0,16,0,4
Klojang Util,org.klojang.util,ClassMethods,159,281,16,30,32,56,20,28,10,15
Klojang Util,org.klojang.util,ArrayType,5,286,1,11,1,63,1,23,0,18
Klojang Util,org.klojang.util,ObjectMethods,67,1088,29,255,17,187,25,174,3,54
Klojang Util,org.klojang.util,StringMethods,71,1720,14,222,9,352,14,173,2,67
Klojang Util,org.klojang.util,CollectionMethods,83,916,6,38,15,165,7,63,3,45
Klojang Util,org.klojang.util,Tuple2,0,29,0,0,0,6,0,3,0,3
Klojang Util,org.klojang.util,ArrayMethods,77,1192,7,61,16,224,15,104,10,75
Klojang Util,org.klojang.util,IOMethods,55,468,1,15,22,94,5,36,4,29
Klojang Util,org.klojang.util,IOMethods.new SimpleFileVisitor() {...},0,11,0,0,0,5,0,3,0,3
Klojang Util,org.klojang.util,MapBuilder,21,570,2,40,4,129,5,51,3,32
Klojang Util,org.klojang.util,MutableInt,0,281,0,44,0,46,0,52,0,30
Klojang Util,org.klojang.util,MathMethods,6,1218,0,96,2,194,1,86,1,38
Klojang Util,org.klojang.util,Path,28,687,8,65,6,125,9,70,2,39
Klojang Util,org.klojang.util,MapBuilder.PathBlockedException,0,34,0,2,0,8,0,4,0,3
Klojang Util,org.klojang.util,InvokeMethods,83,46,4,0,25,13,7,5,5,5
Klojang Util,org.klojang.util,Path.new Iterator() {...},0,42,0,4,0,5,0,5,0,3
Klojang Util,org.klojang.util,ExceptionMethods,22,308,3,25,6,57,4,25,1,14
Klojang Util,org.klojang.util,InvokeException,0,35,0,0,0,7,0,3,0,3
Klojang Util,org.klojang.util.collection,UnmodifiableIntList,2,290,1,19,1,62,1,46,0,37
Klojang Util,org.klojang.util.collection,EnumToIntMap,16,536,3,29,3,96,3,56,0,43
Klojang Util,org.klojang.util.collection,IntArrayList,30,737,5,51,8,163,5,69,1,45
Klojang Util,org.klojang.util.collection,IntList,27,169,8,4,8,30,6,10,1,9
