GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Check,org.klojang.util.invoke,BeanReader,140,0,4,0,31,0,13,0,11,0
Klojang Check,org.klojang.util.invoke,BeanWriter,477,0,44,0,103,0,45,0,23,0
Klojang Check,org.klojang.util.invoke,IncludeExclude,22,0,2,0,4,0,3,0,2,0
Klojang Check,org.klojang.util.invoke,InvokeException,68,11,0,0,12,3,3,2,3,2
Klojang Check,org.klojang.util.invoke,GetterFactory,85,0,4,0,15,0,7,0,5,0
Klojang Check,org.klojang.util.invoke,NoPublicGettersException,6,0,0,0,2,0,1,0,1,0
Klojang Check,org.klojang.util.invoke,NoSuchPropertyException,37,0,2,0,8,0,4,0,3,0
Klojang Check,org.klojang.util.invoke,Getter,31,0,0,0,11,0,4,0,4,0
Klojang Check,org.klojang.util.invoke,IllegalAssignmentException,46,0,0,0,14,0,6,0,6,0
Klojang Check,org.klojang.util.invoke,AnyBeanReader,58,0,0,0,15,0,5,0,5,0
Klojang Check,org.klojang.util.invoke,SetterFactory,83,0,4,0,15,0,7,0,5,0
Klojang Check,org.klojang.util.invoke,NoPublicSettersException,6,0,0,0,2,0,1,0,1,0
Klojang Check,org.klojang.util.invoke,Setter,62,0,4,0,21,0,7,0,5,0
Klojang Check,org.klojang.util.exception,RootException,53,27,0,0,17,5,12,4,12,4
Klojang Check,org.klojang.util.exception,ExceptionOrigin,71,179,15,19,12,39,17,12,8,4
Klojang Check,org.klojang.util.exception,UncheckedException,55,44,2,2,16,11,12,5,10,5
Klojang Check,org.klojang.util,ToIntConversion,41,96,8,14,5,15,8,13,3,7
Klojang Check,org.klojang.util,ToByteConversion,36,134,7,21,5,15,7,20,3,10
Klojang Check,org.klojang.util,ToShortConversion,6,153,0,26,2,18,1,24,1,11
Klojang Check,org.klojang.util,ArrayMethods,79,1173,8,60,16,221,16,101,10,73
Klojang Check,org.klojang.util,IOMethods,55,468,1,15,22,94,5,36,4,29
Klojang Check,org.klojang.util,TypeConversionException,15,142,4,12,3,23,7,10,3,6
Klojang Check,org.klojang.util,IOMethods.new SimpleFileVisitor() {...},0,11,0,0,0,5,0,3,0,3
Klojang Check,org.klojang.util,LaxTuple2,30,21,8,0,3,3,8,3,4,3
Klojang Check,org.klojang.util,MorphToNumber,6,121,1,21,2,26,2,14,1,4
Klojang Check,org.klojang.util,MathMethods,6,1187,0,90,2,191,1,82,1,37
Klojang Check,org.klojang.util,ToLongConversion,3,127,4,22,1,29,5,16,1,7
Klojang Check,org.klojang.util,ExceptionMethods,22,308,3,25,6,57,4,25,1,14
Klojang Check,org.klojang.util,MorphToCollection,40,152,1,11,9,33,7,15,6,10
